tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
RUA;MONSENHOR JOAO DE DEUS;CENTRO;163;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;153;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;145;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;123;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;109;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;99;;
RUA;MONSENHOR JOAO DE DEUS;CENTRO;75;;
RUA;CONSELHEIRO MAYRINK;CENTRO;279;E M PE CORREIA DE ALMEIDA;
RUA;JOAO PINHEIRO;CENTRO;85;;
RUA;JOAO PINHEIRO;CENTRO;71;;
RUA;JOAO PINHEIRO;CENTRO;65;;
RUA;JOAO PINHEIRO;CENTRO;61;;
RUA;JOAO PINHEIRO;CENTRO;43;;
RUA;JOAO PINHEIRO;CENTRO;27;;
RUA;JOAO PINHEIRO;CENTRO;15;;
RUA;JOAO PINHEIRO;CENTRO;13;;
RUA;PRINCESA ISABEL;CENTRO;23;;
RUA;JOAO CARLOS;CENTRO;1;LOJA 1;
RUA;JOAO CARLOS;CENTRO;2;LOJA 2;
RUA;JOAO CARLOS;CENTRO;4;LOJA 4;
RUA;JOAO CARLOS;CENTRO;5;LOJA 5;
RUA;JOAO CARLOS;CENTRO;6;LOJA 6;
RUA;JOAO CARLOS;CENTRO;7;LOJA 7;
RUA;CAETANO FURQUIM;CENTRO;8;LOJA 8;
RUA;CAETANO FURQUIM;CENTRO;9;LOJA 9;
RUA;CAETANO FURQUIM;CENTRO;10;LOJA 10;
RUA;CAETANO FURQUIM;CENTRO;11;LOJA 11;
RUA;CAETANO FURQUIM;CENTRO;12;LOJA 12;
RUA;CAETANO FURQUIM;CENTRO;13;LOJA 13;
RUA;CAETANO FURQUIM;CENTRO;14;LOJA 14;
RUA;CAETANO FURQUIM;CENTRO;15;LOJA 15;
RUA;CAETANO FURQUIM;CENTRO;16;LOJA 16;
RUA;CAETANO FURQUIM;CENTRO;17;LOJA 17;
RUA;CAETANO FURQUIM;CENTRO;19;L0JA 19;
RUA;CAETANO FURQUIM;CENTRO;20;LOJA 20;
RUA;CAETANO FURQUIM;CENTRO;21;L0JA 21;
RUA;CAETANO FURQUIM;CENTRO;22;LOJA 22;
RUA;CAETANO FURQUIM;CENTRO;23;LOJA 23;
RUA;CAETANO FURQUIM;CENTRO;24;LOJA 24;
RUA;CAETANO FURQUIM;CENTRO;25;LOJA 25;
RUA;CAETANO FURQUIM;CENTRO;26;LOJA 26;
RUA;CAETANO FURQUIM;CENTRO;27;LOJA 27;
RUA;CAETANO FURQUIM;CENTRO;28;LOJA 28;
RUA;CAETANO FURQUIM;CENTRO;29;LOJA 29;
RUA;CAETANO FURQUIM;CENTRO;30;LOJA 30;
RUA;CAETANO FURQUIM;CENTRO;31;LOJA 31;
RUA;CAETANO FURQUIM;CENTRO;32;LOJA 32;
RUA;JOAO PINHEIRO;CENTRO;35;;
RUA;JOAO PINHEIRO;CENTRO;38;;
RUA;JOAO PINHEIRO;CENTRO;18;RESTAURANTE;
RUA;JOAO PINHEIRO;CENTRO;41;A;
RUA;JOAO PINHEIRO;CENTRO;40;LOJA 40;
RUA;JOAO PINHEIRO;CENTRO;36;LOJA 36;
RUA;CONSELHEIRO MAYRINK;CENTRO;238;SUPERMERCADO CARROSSEL;
RUA;MAJOR PENHA;CENTRO;22;FORUM;
PÇA;16 DE SETEMBRO;CENTRO;109;TERREO;
PÇA;16 DE SETEMBRO;CENTRO;109;A PAV SUPERIOR;
RUA;CONSELHEIRO MAYRINK;CENTRO;304;PAV SUPERIOR;
RUA;CONSELHEIRO MAYRINK;CENTRO;306;TERREO;
PÇA;16 DE SETEMBRO;CENTRO;97;RESIDENCIA FRENTE;
PÇA;16 DE SETEMBRO;CENTRO;29;;
RUA;CONSELHEIRO MAYRINK;CENTRO;363;;
RUA;CONSELHEIRO MAYRINK;CENTRO;381;LOJA A TERREO;
RUA;CONSELHEIRO MAYRINK;CENTRO;381;LOJA B TERREO;
RUA;CONSELHEIRO MAYRINK;CENTRO;381;LOJA C TERREO;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 101;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 102;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 103;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 104;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 201;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 202;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 203;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 204;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 301;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 302;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 303;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 304;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 401;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 402;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 403;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 404;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 501;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 502;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 503;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 504;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 601;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 602;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 603;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 604;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 701;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 702;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 703;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 704;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 801;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 802;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 803;
RUA;AMERICO DE MACEDO;CENTRO;72;AP 804;
