distrito_cod;setor_cod;quadra_cod;lote_cod;unidade;matricula;ocupacao;patrimonio;muro;passeio;topografia;area_total;fracao_ideal;pedologia;isencao_iptu;isencao_taxas;valor_venal_informado;valor_venal_2020
1;1;1;22;1;;Construido;Particular;Sim;Sim;;308,36;;;Tributável;Tributável;;102.461,62
1;1;1;32;1;;Construido;Particular;Sim;Sim;;147,75;;;Tributável;Tributável;;85.526,10
1;1;1;43;1;;Construido;Particular;Sim;Sim;;145,14;;;Tributável;Tributável;;136.687,02
1;1;1;72;1;;Construido;Particular;Sim;Sim;;170,28;;;Tributável;Tributável;;113.330,36
1;1;1;78;1;;Construido;Particular;Sim;Sim;;78,4;;;Tributável;Tributável;;68.572,80
1;1;1;88;1;;Construido;Particular;Sim;Sim;;144;;;Tributável;Tributável;;100.058,54
1;1;1;118;1;;Construido;Particular;Não;Sim;;178,86;;;Tributável;Tributável;;71.193,99
1;1;1;269;1;;Construido;Particular;Não;Sim;;2.139,10;;;Isento;Isento;;651.716,25
1;1;1;284;2;;Construido;Particular;Sim;Sim;;344,95;;;Tributável;Tributável;;266.856,68
1;1;1;299;1;;Construido;Particular;Sim;Sim;;495;;;Tributável;Tributável;;356.839,30
1;1;1;304;1;;Construido;Particular;Sim;Sim;;103,75;;;Tributável;Tributável;;93.358,61
1;1;1;314;1;;Construido;Particular;Sim;Sim;;196,33;;;Tributável;Tributável;;164.959,89
1;1;1;328;1;;Construido;Particular;Sim;Sim;;315;;;Tributável;Tributável;;247.163,12
1;1;1;343;1;;Construido;Particular;Sim;Sim;;491,54;;;Tributável;Tributável;;446.289,75
1;1;1;358;1;;Construido;Particular;Sim;Sim;;295;;;Tributável;Tributável;;209.257,03
1;1;1;372;1;;Construido;Particular;Sim;Sim;;199,52;;;Tributável;Tributável;;46.938,97
1;1;1;392;1;;Construido;Particular;Sim;Sim;;179,93;;;Tributável;Tributável;;42.177,04
1;1;2;281;27;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;13.086,70
1;1;2;259;2;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;41.686,65
1;1;2;259;3;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;41.686,65
1;1;2;259;4;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;41.686,65
1;1;2;259;5;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;41.686,65
1;1;2;259;6;;Construido;Particular;Sim;Sim;;360;;;Tributável;Tributável;;41.686,65
1;1;2;281;1;;Construido;Particular;Sim;Sim;;1.701,29;;;Tributável;Tributável;;48.252,97
1;1;2;281;2;;Construido;Particular;Sim;Sim;;1.701,29;;;Tributável;Tributável;;24.424,42
1;1;2;281;3;;Construido;Particular;Sim;Sim;;1.701,29;;;Tributável;Tributável;;23.321,73
1;1;2;281;4;;Construido;Particular;Sim;Sim;;1.701,29;;;Tributável;Tributável;;24.424,42
1;1;2;281;5;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;24.424,42
1;1;2;281;6;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;24.424,42
1;1;2;281;7;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;24.424,42
1;1;2;281;8;;Construido;Particular;Sim;Sim;;1.701,29;;;Tributável;Tributável;;53.407,53
1;1;2;281;9;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;53.672,80
1;1;2;281;10;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;80.494,53
1;1;2;281;11;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;116.103,51
1;1;2;281;12;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;53.041,76
1;1;2;281;13;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;53.041,76
1;1;2;281;14;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;53.749,57
1;1;2;281;15;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;23.206,47
1;1;2;281;16;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;22.929,33
1;1;2;281;17;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;22.953,05
1;1;2;281;18;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;23.283,25
1;1;2;281;19;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;23.206,47
1;1;2;281;20;;Construido;Particular;Não;Sim;;1.701,29;;;Tributável;Tributável;;23.206,47
