distrito_cod;setor_cod;quadra_cod;lote_cod;unidade_cod;matricula;area_construida_unid;area_edicula;utilizacao;tipo;alinhamento;posicao;estrutura;cobertura;paredes;conservacao;isencao_iptu;isencao_taxas;valor_venal_informado;valor_venal_2020;;inst_sanitaria;inst_eletrica
1;1;1;22;1;;105,82;0;Residencial;CASA;FRENTE;ISOLADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;102.461,62;;INT.SIMPL.;EMBUTIDA
1;1;1;32;1;;89,03;0;Residencial;CASA;FRENTE;CONJUGADA;ALVENARIA;TELHA FIBR;ALVENARIA;;Tributável;Tributável;;85.526,10;;INT.SIMPL.;EMBUTIDA
1;1;1;43;1;;225,88;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;136.687,02;;+1 INTERNA;EMBUTIDA
1;1;1;72;1;;143,17;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;113.330,36;;+1 INTERNA;EMBUTIDA
1;1;1;78;1;;121,71;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;68.572,80;;INT.SIMPL.;EMBUTIDA
1;1;1;88;1;;147;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;100.058,54;;+1 INTERNA;EMBUTIDA
1;1;1;118;1;;150,75;0;Residencial;CASA;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;71.193,99;;+1 INTERNA;EMBUTIDA
1;1;1;269;1;;1.559,64;0;Escolar;ESPECIAL;FRENTE;CONJUGADA;CONCRETO;TELHA BARR;ALVENARIA;;Isento;Isento;;651.716,25;;+1 INTERNA;EMBUTIDA
1;1;1;284;2;;351,56;0;Residencial;CASA;FRENTE;GEMINADA;CONCRETO;TELHA BARR;ALVENARIA;;Tributável;Tributável;;266.856,68;;INT.COMPL.;EMBUTIDA
1;1;1;299;1;;135;0;Residencial;CASA;FRENTE;ISOLADA;ALVENARIA;TELHA BARR;ALVENARIA;;Tributável;Tributável;;356.839,30;;+1 INTERNA;EMBUTIDA
